category,app_name,app_link
Art & Design,Adobe Express: AI Photo & Video,https://play.google.com/store/apps/details?id=com.adobe.spark.post
Art & Design,Sketchbook,https://play.google.com/store/apps/details?id=com.adsk.sketchbook
Art & Design,Canva,https://play.google.com/store/apps/details?id=com.canva.editor
Art & Design,Picsart AI Photo Editor & Video,https://play.google.com/store/apps/details?id=com.picsart.studio
Art & Design,Arvin - AI Logo Maker,https://play.google.com/store/apps/details?id=com.chatgpt.ai.chat.openai
Art & Design,PaperColor,https://play.google.com/store/apps/details?id=com.eyewind.paperone
Art & Design,AR Drawing : Trace Anything,https://play.google.com/store/apps/details?id=com.iApp.ar.drawing.traceanything
Art & Design,AI Art Generator : ImagineArt,https://play.google.com/store/apps/details?id=com.vyroai.aiart
Art & Design,FlipaClip: Create 2D Animation,https://play.google.com/store/apps/details?id=com.vblast.flipaclip
Books and references,Pratilipi - Read Stories,https://play.google.com/store/apps/details?id=com.pratilipi.mobile.android
Books and references,Amazon Kindle - eBooks & more,https://play.google.com/store/apps/details?id=com.amazon.kindle
Books and references,Audible: Audiobooks & Podcasts,https://play.google.com/store/apps/details?id=com.audible.application
Books and references,Storytel: Audiobooks & Ebooks,https://play.google.com/store/apps/details?id=grit.storytel.app
Books and references,Tapon,https://play.google.com/store/apps/details?id=com.tapon.read
Books and references,Goodreads: Book Reviews,https://play.google.com/store/apps/details?id=com.goodreads
Education,Coursera: Grow your career,https://play.google.com/store/apps/details?id=org.coursera.android
Education,Udemy - Online Courses,https://play.google.com/store/apps/details?id=com.udemy.android
Education,Great Learning: Online Courses,https://play.google.com/store/apps/details?id=com.lms.greatlakes
Education,Unstop,https://play.google.com/store/apps/details?id=com.dare2compete.app
Education,Simplilearn: Online Courses,https://play.google.com/store/apps/details?id=com.mobile.simplilearn
Education,Adda247 Exam Preparation App,https://play.google.com/store/apps/details?id=com.adda247.app
Education,AhaGuru Courses,https://play.google.com/store/apps/details?id=com.ahaguru.ahazap
Education,Testbook: Exam Preparation App,https://play.google.com/store/apps/details?id=com.testbook.tbapp
Education,BYJU'S - The Learning App,https://play.google.com/store/apps/details?id=com.byjus.thelearningapp
Education,Unacademy: Learn & Crack Exams,https://play.google.com/store/apps/details?id=com.unacademyapp
Education,Vedantu | JEE-NEET Class 1-12,https://play.google.com/store/apps/details?id=com.vedantu.app
Education,Swayam,https://play.google.com/store/apps/details?id=in.gov.swayam.app
Education,edX,https://play.google.com/store/apps/details?id=org.edx.mobile
Finance,Groww Stocks & Mutual Fund,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Finance,Binance: Buy Bitcoin & Crypto,https://play.google.com/store/apps/details?id=com.binance.dev
Finance,Upstox - Stocks & Demat Account,https://play.google.com/store/apps/details?id=in.upstox.app
Finance,Navi: UPI | Insurance & Loans,https://play.google.com/store/apps/details?id=com.naviapp
Business & Job Search,LinkedIn: Jobs & Business News,https://play.google.com/store/apps/details?id=com.linkedin.android
Business & Job Search,Indeed Job Search,https://play.google.com/store/apps/details?id=com.indeed.android.jobsearch
Business & Job Search,WorkIndia Job Search App,https://play.google.com/store/apps/details?id=in.workindia.nileshdungarwal.workindiaandroid
Business & Job Search,apna Job Search App India,https://play.google.com/store/apps/details?id=com.apnatime
Business & Job Search,Internshala Internships & Jobs,https://play.google.com/store/apps/details?id=com.internshala.app
Business & Job Search,Lokal Jobs - Job search app,https://play.google.com/store/apps/details?id=get.lokal.localjobs
Business & Job Search,Fiverr - Freelance Service,https://play.google.com/store/apps/details?id=com.fiverr.fiverr
Business & Job Search,Freelancer: Hire & Find Jobs,https://play.google.com/store/apps/details?id=com.freelancer.android.messenger
Business & Job Search,Glassdoor | Jobs & Careers,https://play.google.com/store/apps/details?id=com.glassdoor.app
Business & Job Search,Blinkit Picker Onboarding,https://play.google.com/store/apps/details?id=com.blinkit.storeob
Business & Job Search,Naukri - Job Search App,https://play.google.com/store/apps/details?id=naukriApp.appModules.login
Business & Job Search,Job Hai - Search Job & Vacancy,https://play.google.com/store/apps/details?id=com.jobhai.jobs
Business & Job Search,Naukrigulf - Job Search App,https://play.google.com/store/apps/details?id=com.naukriGulf.app
Business & Job Search,SEEK Jobs & Employment,https://play.google.com/store/apps/details?id=au.com.seek
Business & Job Search,Shine.com: Job Search App,https://play.google.com/store/apps/details?id=com.net.shine
Medical,ABHA,https://play.google.com/store/apps/details?id=in.ndhm.phr
Medical,Ayushman App,https://play.google.com/store/apps/details?id=com.beneficiaryapp
Medical,Apollo 247 - Health & Medicine,https://play.google.com/store/apps/details?id=com.apollo.patientapp
Medical,PharmEasy - Healthcare App,https://play.google.com/store/apps/details?id=com.phonegap.rxpal
Medical,MedPlus Mart - Online Pharmacy,https://play.google.com/store/apps/details?id=com.medplus.mobile.android
Medical,TATA 1mg Online Healthcare App,https://play.google.com/store/apps/details?id=com.aranoah.healthkart.plus
News and magazines,Way2News Daily News App,https://play.google.com/store/apps/details?id=sun.way2sms.hyd.com
News and magazines,Dailyhunt - News & Magazines,https://play.google.com/store/apps/details?id=com.eterno
News and magazines,Google News - Daily Headlines,https://play.google.com/store/apps/details?id=com.google.android.apps.magazines
News and magazines,Times Of India News App,https://play.google.com/store/apps/details?id=com.toi.reader.activities
News and magazines,Inshorts - News in 60 words,https://play.google.com/store/apps/details?id=com.nis.app
News and magazines,Lokal: Breaking Info & Jobs,https://play.google.com/store/apps/details?id=get.lokal.localnews
News and magazines,Mint: Market & News,https://play.google.com/store/apps/details?id=com.htmedia.mint
News and magazines,News18: Breaking & Local News,https://play.google.com/store/apps/details?id=com.divum.ibn
News and magazines,Hindustan Times: Daily News,https://play.google.com/store/apps/details?id=com.ht.news
News and magazines,Economic Times: Business News,https://play.google.com/store/apps/details?id=com.et.reader.activities
News and magazines,India Today - English News,https://play.google.com/store/apps/details?id=com.indiatoday
Mathematics,Photomath,https://play.google.com/store/apps/details?id=com.microblink.photomath
Mathematics,Matiks: Math and Mind Games,https://play.google.com/store/apps/details?id=com.matiks.app
Mathematics,Learn math & Mental Math,https://play.google.com/store/apps/details?id=com.companyname.MaturaMatematyka
Mathematics,Khare Maths App | 3rd-10th,https://play.google.com/store/apps/details?id=com.arise.student
Mathematics,Extramarks - The Learning App,https://play.google.com/store/apps/details?id=com.Extramarks.Smartstudy
Mathematics,Stimy AI: Maths Solver App,https://play.google.com/store/apps/details?id=com.stimy
Mathematics,Crossmath - Math Puzzle Games,https://play.google.com/store/apps/details?id=math.puzzle.games.crossmath.number.puzzles.free
Language Learning,Duolingo,https://play.google.com/store/apps/details?id=com.duolingo
Language Learning,MySivi AI English Speaking App,https://play.google.com/store/apps/details?id=com.practice.ninja_study
Language Learning,Memrise: Languages for life,https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion
Language Learning,Speak: Language Learning,https://play.google.com/store/apps/details?id=com.selabs.speak
Language Learning,HelloTalk - Learn Languages,https://play.google.com/store/apps/details?id=com.hellotalk
Language Learning,LingoDeer - Learn Languages,https://play.google.com/store/apps/details?id=com.lingodeer
Language Learning,Supernova: Learn English Fast,https://play.google.com/store/apps/details?id=live.gosupernova.app
Language Learning,Ling: Learn 40+ Languages,https://play.google.com/store/apps/details?id=com.simyasolutions.ling.universal
Language Learning,Read Along by Google,https://play.google.com/store/apps/details?id=com.google.android.apps.seekh
Learn Programming & Coding IDE's,Programming Hub: Learn to code,https://play.google.com/store/apps/details?id=com.freeit.java
Learn Programming & Coding IDE's,Learn Coding/ Programming: Mimo,https://play.google.com/store/apps/details?id=com.getmimo
Learn Programming & Coding IDE's,Learn Python Programming,https://play.google.com/store/apps/details?id=python.programming.coding.python3.development
Learn Programming & Coding IDE's,Learn C Programming,https://play.google.com/store/apps/details?id=com.programiz.learnc
Learn Programming & Coding IDE's,Coding X : Learn Python & Java,https://play.google.com/store/apps/details?id=codingx.coding.programming.learn.learntocode.code.java.python.program.delevopment.it.apps.dev
Learn Programming & Coding IDE's,GeekforGeeks - Learn To Code,https://play.google.com/store/apps/details?id=free.programming.programming
Learn Programming & Coding IDE's,Replit: Vibe Code Apps,https://play.google.com/store/apps/details?id=com.replit.app
Learn Programming & Coding IDE's,Learn HTML,https://play.google.com/store/apps/details?id=html.programming.learn.web.html5.website.development
Learn Programming & Coding IDE's,Coding C,https://play.google.com/store/apps/details?id=com.kvassyu.coding2.c
Learn Programming & Coding IDE's,Code Studio,https://play.google.com/store/apps/details?id=com.alif.ide
Learn Programming & Coding IDE's,Pydroid 3 - IDE for Python 3,https://play.google.com/store/apps/details?id=ru.iiec.pydroid3
Learn Programming & Coding IDE's,WebCode - html css js ide,https://play.google.com/store/apps/details?id=com.qamar.ide.web
Learn Programming & Coding IDE's,Cxxdroid - C/C++ compiler IDE,https://play.google.com/store/apps/details?id=ru.iiec.cxxdroid
Learn Programming & Coding IDE's,Mimo: Learn Coding App,https://play.google.com/store/apps/details?id=com.getmimo
Learn Programming & Coding IDE's,Python Coding Editor & IDE App,https://play.google.com/store/apps/details?id=com.markodevcic.python_code_pad
Learn Programming & Coding IDE's,Code Ide : Compiler & Editor,https://play.google.com/store/apps/details?id=codetoinvent.compiler_editor
Learn Programming & Coding IDE's,Enki: Learn to code,https://play.google.com/store/apps/details?id=com.enki.insights
Learn Programming & Coding IDE's,Sololearn: Learn to code,https://play.google.com/store/apps/details?id=com.sololearn
